"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.683618240E-1,-1.160374284E-2,-1.570228487E-2,-2.979469299E-2,3.562207642E-2
3.730915110E-1,-1.846903563E-2,-2.728506364E-2,-4.823875427E-2,5.841709843E-2
3.778212510E-1,7.769942284E-3,-1.982738823E-2,-2.159118652E-2,3.032617125E-2
3.825509380E-1,-4.181772470E-3,1.109668240E-2,3.536224365E-2,3.729761195E-2
3.872806780E-1,1.239019632E-2,1.562413573E-2,4.431533813E-2,4.859505918E-2
3.920103650E-1,5.124449730E-3,2.014922537E-2,4.843139648E-2,5.270532642E-2
3.967401050E-1,9.794980288E-3,-6.000762805E-3,3.596591949E-2,3.775576987E-2
4.014698440E-1,-1.860880852E-2,8.353842422E-3,-3.065586090E-2,3.682195331E-2
4.061995320E-1,-2.079515159E-2,-3.899304569E-2,-3.261280060E-2,5.492258829E-2
4.109292720E-1,-3.471520543E-2,-2.671177499E-2,-3.833770752E-3,4.397001489E-2
4.156589590E-1,-1.194596291E-3,-5.109723657E-3,3.305435181E-3,6.201793119E-3
4.203886990E-1,-5.890697241E-3,3.509850055E-2,5.999374390E-2,6.975567620E-2
4.251183860E-1,8.384406567E-3,1.576351002E-3,6.869983673E-2,6.922752865E-2
4.298481260E-1,1.069006324E-2,6.302511320E-3,3.947734833E-2,4.138188169E-2
4.345778650E-1,-3.556609154E-3,1.812267676E-2,-3.574371338E-3,1.881108748E-2
4.393075530E-1,1.261502504E-3,1.391705126E-3,-2.955055237E-2,2.961019042E-2
4.440372920E-1,-1.187771559E-3,-1.280344278E-2,-3.156185150E-2,3.408063113E-2
4.487669800E-1,-3.665208817E-3,1.529408619E-3,-2.645492554E-2,2.675137252E-2
4.534967190E-1,-6.057620049E-3,2.271020226E-2,3.537654877E-2,4.247291196E-2
4.582264590E-1,1.293271780E-2,2.477397583E-2,7.046985626E-2,7.580900811E-2
4.629561470E-1,1.990270615E-2,1.974682510E-2,3.889942169E-2,4.795018062E-2
4.676858860E-1,-6.343781948E-3,1.956991106E-2,1.478958130E-2,2.533686451E-2
4.724155740E-1,-2.996037900E-2,2.796541899E-3,-2.088737488E-2,3.662959713E-2
4.771453130E-1,-2.490767837E-2,-2.010025084E-3,-5.143928528E-2,5.718769721E-2
4.818750010E-1,-1.760163903E-2,-1.384040527E-2,-5.324649811E-2,5.776299919E-2
4.866047400E-1,-2.935151756E-2,5.067028105E-4,8.905410767E-3,3.067694039E-2
4.913344800E-1,1.349872351E-2,-4.304630682E-3,4.197502136E-2,4.430178100E-2
4.960641670E-1,6.323069334E-3,2.409876138E-2,2.494907379E-2,3.525886823E-2
5.007939070E-1,-7.484853268E-4,3.328255191E-2,5.548572540E-2,6.470667829E-2
5.055235940E-1,-1.254311204E-2,-2.585250884E-3,-3.038597107E-2,3.297454199E-2
5.102533340E-1,-3.135615587E-2,-3.334799781E-2,-6.799125671E-2,8.196406810E-2
5.149830220E-1,-3.342124820E-2,-3.068382852E-2,-3.175544739E-2,5.537946914E-2
5.197127610E-1,4.937112331E-3,-1.371244155E-2,-4.566192627E-2,4.793138473E-2
5.244425010E-1,-1.168811321E-2,1.011464186E-2,2.116203308E-2,2.620590801E-2
5.291721880E-1,1.931801438E-2,7.574582472E-3,4.465866089E-2,4.924384197E-2
5.339019280E-1,1.914685965E-2,9.887708351E-3,3.711128235E-2,4.291405700E-2
5.386316150E-1,1.895070076E-2,7.494267076E-3,8.299827576E-3,2.200409589E-2
5.433613550E-1,-7.297515869E-3,-9.133461863E-3,-6.529045105E-2,6.632885392E-2
5.480910420E-1,-1.912672818E-2,-1.860039309E-3,-5.044364929E-2,5.398011885E-2
5.528207820E-1,-1.898835599E-2,5.259115249E-3,-4.522895813E-2,4.933431473E-2
5.575505220E-1,-6.965100765E-3,7.571250200E-3,-2.114295959E-3,1.050269992E-2
5.622802090E-1,1.683637500E-2,1.460709237E-2,3.111457825E-2,3.827463455E-2
5.670099490E-1,3.093355894E-2,2.160866000E-2,4.269218445E-2,5.697755583E-2
5.717396360E-1,6.974369287E-3,1.668551378E-2,4.230690002E-2,4.601002050E-2
5.764693760E-1,2.353763580E-2,1.417964324E-2,-2.213573456E-2,3.528559658E-2
5.811991150E-1,-1.224794984E-2,-7.229287177E-3,-6.465339661E-2,6.619921873E-2
5.859288030E-1,-2.644807100E-2,-7.150046527E-3,-3.798103333E-2,4.683142660E-2
5.906585420E-1,-2.397063375E-2,-1.893921942E-2,-3.527259827E-2,4.666306358E-2
5.953882300E-1,1.648736000E-2,4.974478856E-3,4.335784912E-2,4.665277655E-2
6.001179690E-1,2.111005783E-2,2.865644917E-2,4.298686981E-2,5.580947587E-2
6.048476570E-1,2.812600136E-2,-2.781115472E-5,2.265930176E-3,2.821714311E-2
6.095773970E-1,-1.711419225E-2,1.185892522E-2,1.173973083E-2,2.390294885E-2
6.143071360E-1,-1.932932436E-2,-3.333287686E-2,-2.397060394E-2,4.537943712E-2
6.190368240E-1,-2.395695448E-2,-2.357192710E-2,-7.362651825E-2,8.093476141E-2
6.237665630E-1,-4.276247323E-2,-2.810872719E-2,-5.639362335E-2,7.615097120E-2
6.284962510E-1,-1.155409217E-2,-2.791714296E-2,-1.081562042E-2,3.209114460E-2
6.332259900E-1,-4.290610552E-3,-1.665413380E-3,4.387855530E-2,4.411927646E-2
6.379556780E-1,1.715728641E-2,3.056403250E-3,3.401470184E-2,3.821928857E-2
6.426854170E-1,9.936630726E-3,5.422450602E-3,2.898216248E-2,3.111439124E-2
6.474151570E-1,-4.431575537E-3,-1.116897911E-2,-1.636695862E-2,2.030424316E-2
6.521448440E-1,-3.521366417E-2,-8.628964424E-3,-4.946899414E-2,6.133223095E-2
6.568745840E-1,-2.778126299E-2,-8.513510227E-3,-5.143260956E-2,5.907276662E-2
6.616042720E-1,5.590945482E-3,-3.454311937E-2,-3.200721741E-2,4.742307174E-2
6.663340110E-1,2.215144038E-2,-1.087551937E-3,4.898071289E-2,5.376782789E-2
6.710636990E-1,1.963773370E-2,2.499525063E-2,3.195190430E-2,4.507024880E-2
6.757934380E-1,1.479917765E-2,2.477431297E-2,6.492233276E-2,7.104710785E-2
6.805231260E-1,-4.243940115E-3,7.936179638E-3,2.639198303E-2,2.788423826E-2
6.852528650E-1,-2.075408399E-2,1.500679180E-2,-4.030609131E-2,4.775475682E-2
6.899826050E-1,-8.665382862E-3,-1.124730520E-2,-3.284835815E-2,3.578554691E-2
6.947122920E-1,-1.511275768E-3,7.045175880E-4,-2.545166016E-2,2.550622089E-2
6.994420320E-1,-3.856480122E-3,5.378110334E-3,-3.872871399E-3,7.667831673E-3
7.041717190E-1,1.750254631E-2,1.238537207E-2,5.788803101E-2,6.173135915E-2
7.089014590E-1,1.980432868E-2,1.226874813E-2,5.502986908E-2,5.975801290E-2
7.136311470E-1,2.214387059E-2,3.114628047E-2,2.370357513E-2,4.497000407E-2
7.183608860E-1,6.655156612E-4,1.190861315E-2,-7.359504700E-3,1.401500223E-2
7.230906260E-1,-1.348313689E-2,-7.224168628E-3,-3.579044342E-2,3.892222287E-2
7.278203130E-1,9.189546108E-4,-9.606955573E-3,-5.923461914E-2,6.001564944E-2
7.325500530E-1,-3.848969936E-3,2.273475751E-3,-1.838016510E-2,1.891596497E-2
7.372797400E-1,1.035907865E-2,1.640057191E-2,4.825115204E-2,5.200445118E-2
7.420094800E-1,2.687972784E-2,1.384863257E-2,5.497169495E-2,6.273907585E-2
7.467391670E-1,1.723259687E-2,1.128870621E-2,4.501533508E-2,4.950532977E-2
7.514689070E-1,2.185362577E-2,6.462939084E-3,9.025573730E-3,2.451145696E-2
7.561986470E-1,9.788662195E-3,-1.731579565E-2,-3.615665436E-2,4.126691581E-2
7.609283340E-1,-9.269744158E-3,-2.193167247E-2,-5.959701538E-2,6.417733756E-2
7.656580740E-1,-2.101840079E-2,-3.606263548E-2,-2.823829651E-2,5.039531962E-2
7.703877610E-1,7.577568293E-3,4.528032616E-3,-1.375675201E-2,1.634536162E-2
7.751175010E-1,1.225078106E-2,-7.479289547E-3,3.621578217E-2,3.895644089E-2
7.798471880E-1,7.473856211E-3,2.343354747E-2,3.828811646E-2,4.550790629E-2
7.845769280E-1,2.708107233E-3,1.141261123E-2,3.321838379E-2,3.522843399E-2
7.893066150E-1,2.673655748E-3,-2.897174656E-2,-4.065704346E-2,4.999505692E-2
7.940363550E-1,-9.231299162E-3,-1.198229194E-2,-5.456256866E-2,5.662036827E-2
7.987660940E-1,-6.763815880E-3,-1.429771259E-2,-4.935932159E-2,5.183161602E-2
8.034957820E-1,-9.150505066E-3,-1.422045566E-2,-3.470039368E-2,3.860143033E-2
8.082255220E-1,9.935438633E-3,1.194331050E-2,1.544570923E-2,2.190720293E-2
8.129552090E-1,2.651667595E-2,4.650972784E-3,3.193473816E-2,4.176832715E-2
8.176849490E-1,-4.523217678E-3,2.596613020E-2,5.303478241E-2,5.922320120E-2
8.224146360E-1,7.430106401E-3,-1.216382533E-2,-2.013206482E-3,1.439507305E-2
8.271443760E-1,-4.457414150E-3,-1.201968268E-2,-3.523540497E-2,3.749500068E-2
8.318740630E-1,-3.057640791E-2,-2.846576460E-2,-3.256702423E-2,5.297006270E-2
8.366038030E-1,-3.971633315E-2,-2.352137677E-2,-5.129241943E-2,6.900401855E-2
8.413335420E-1,-1.305404305E-2,-1.149497926E-2,-3.387451172E-3,1.772053650E-2
8.460632300E-1,3.661721945E-3,-9.094635025E-3,2.038288116E-2,2.261818822E-2
8.507929690E-1,2.979162335E-2,1.468304545E-2,6.057167053E-2,6.908009783E-2
8.555226570E-1,9.561777115E-4,2.172667719E-2,5.769634247E-2,6.165898728E-2
8.602523970E-1,5.713015795E-3,-6.957564503E-3,-6.885528564E-3,1.133387652E-2
8.649820840E-1,-8.534461260E-3,-1.638110541E-2,-3.057098389E-2,3.571782047E-2
8.697118240E-1,-6.101280451E-3,-2.332272753E-2,-3.743934631E-2,4.452953958E-2
8.744415630E-1,-3.688246012E-3,-4.177074879E-3,-2.288150787E-2,2.355025511E-2
8.791712510E-1,3.481417894E-3,-1.614032313E-2,3.903770447E-2,4.238599617E-2
8.839009900E-1,2.480772138E-2,7.694536820E-3,6.482791901E-2,6.983758314E-2
8.886306780E-1,4.355370998E-2,1.001963019E-2,4.292106628E-2,6.196399417E-2
8.933604170E-1,9.969055653E-3,1.710365899E-2,2.119541168E-2,2.900280500E-2
8.980901050E-1,1.470759511E-2,1.222943887E-2,-1.222133636E-2,2.269875749E-2
9.028198440E-1,-1.629102230E-2,-1.159735024E-2,-2.636432648E-2,3.309038608E-2
9.075495320E-1,-2.094398439E-2,-6.765821949E-3,-5.463409424E-2,5.890085808E-2
9.122792720E-1,-1.603311300E-2,7.493557408E-3,-1.856613159E-2,2.564986077E-2
9.170089590E-1,3.081589937E-3,1.213828474E-2,8.605194092E-2,8.695844231E-2
9.217386990E-1,1.971989870E-2,1.911845058E-2,5.446910858E-2,6.100224051E-2
9.264683860E-1,7.758378983E-3,9.505320340E-3,3.739452362E-2,3.935599009E-2
9.311981260E-1,1.960924268E-2,2.406485379E-3,1.571369171E-2,2.524348782E-2
9.359278650E-1,2.814710140E-3,-1.424524933E-2,-3.664779663E-2,3.941967427E-2
9.406575530E-1,-2.333658934E-2,-4.641059786E-3,-4.109191895E-2,4.748348808E-2
9.453872920E-1,-1.134046912E-2,-2.598159574E-2,-3.837394714E-2,4.770963610E-2
9.501169800E-1,-4.135668278E-3,7.489591837E-3,1.892566681E-2,2.076965580E-2
9.548467190E-1,2.683621645E-2,1.688187383E-2,5.200386047E-2,6.090633532E-2
9.595764070E-1,2.668598294E-2,3.100191802E-2,5.156898499E-2,6.582264670E-2
9.643061470E-1,2.795696259E-3,1.413883455E-2,2.264785767E-2,2.684488810E-2
9.690358860E-1,9.968101978E-3,4.598759115E-3,-4.164505005E-2,4.306764256E-2
9.737655740E-1,-2.333679795E-2,-2.153782174E-2,-4.604721069E-2,5.593594119E-2
9.784953130E-1,-2.547156811E-2,-4.837395623E-3,-5.990791321E-2,6.527755543E-2
9.832250010E-1,-1.529812813E-3,-2.386063710E-2,-3.091907501E-2,3.908528533E-2
9.879547400E-1,-1.557409763E-3,4.813799635E-3,2.394485474E-2,2.447354205E-2
9.926844280E-1,1.983934641E-2,2.135159448E-2,4.273796082E-2,5.173029622E-2
9.974141670E-1,1.256799698E-2,6.944611669E-3,3.288364410E-2,3.588197638E-2
1.002143855E0,-1.120480895E-2,-7.313830778E-3,-1.487541199E-2,2.000794207E-2
1.006873594E0,-1.813201606E-2,-1.670515537E-2,-3.849601746E-2,4.571406329E-2
1.011603282E0,-2.740411460E-2,-1.657859050E-2,-5.242156982E-2,6.143171936E-2
1.016333022E0,-1.072376966E-3,-2.122832648E-2,-4.011440277E-2,4.539776589E-2
1.021062761E0,-8.141011000E-3,-9.249521419E-3,1.007556915E-2,1.591687156E-2
1.025792449E0,1.099339128E-2,7.405474782E-3,2.186107635E-2,2.556564820E-2
1.030522188E0,2.524864674E-2,1.442431845E-2,9.804725647E-3,3.068693158E-2
1.035251876E0,8.464157581E-3,7.168263197E-3,1.921939850E-2,2.219034113E-2
1.039981615E0,1.287549734E-3,1.190190390E-2,-2.130222321E-2,2.443558500E-2
1.044711303E0,-2.010266483E-2,-9.548010305E-3,-3.774356842E-2,4.381619097E-2
1.049441042E0,-1.760144532E-2,-2.387885004E-3,-7.066535950E-2,7.286361167E-2
1.054170730E0,-8.479654789E-4,-7.127396762E-3,-3.446292877E-2,3.520244721E-2
1.058900469E0,6.269305944E-3,1.663388312E-2,3.467273712E-2,3.896394441E-2
1.063630157E0,3.234913945E-2,2.357659675E-2,3.913307190E-2,5.597963964E-2
1.068359897E0,1.317441463E-3,4.375064746E-3,2.693271637E-2,2.731754115E-2
1.073089636E0,-5.685538054E-3,1.382179186E-2,-2.315235138E-2,2.755718867E-2
1.077819324E0,-1.274409890E-2,-1.233698986E-2,-3.720569611E-2,4.121743804E-2
1.082549063E0,-2.449229360E-2,-2.649094909E-2,-4.401779175E-2,5.691404765E-2
1.087278751E0,-2.667437494E-2,9.329382330E-3,-3.890228271E-2,4.808271263E-2
1.092008490E0,6.802409887E-3,1.867864281E-2,-7.713317871E-3,2.132275193E-2
1.096738178E0,6.762146950E-3,2.085602097E-2,3.745841980E-2,4.340315030E-2
1.101467917E0,2.571526170E-2,1.589432918E-2,3.239917755E-2,4.431265158E-2
1.106197605E0,1.775711775E-3,2.290168777E-2,3.450202942E-2,4.144913134E-2
1.110927344E0,-2.942442894E-3,-3.360474482E-3,-2.751445770E-2,2.787465052E-2
1.115657032E0,-1.946358383E-2,-1.041060500E-2,-2.253818512E-2,3.154649870E-2
1.120386772E0,-1.928503811E-2,-2.455213852E-2,-1.997756958E-2,3.706512495E-2
1.125116459E0,1.175603271E-2,-1.014376618E-2,-1.981067657E-2,2.517068143E-2
1.129846199E0,-1.203858852E-2,8.893592283E-3,5.157852173E-2,5.370630783E-2
1.134575886E0,1.894208789E-2,4.058547318E-3,6.302070618E-2,6.593090252E-2
1.139305626E0,3.069993854E-2,3.012771346E-2,7.911300659E-2,9.005017022E-2
