"event","experiment time","system time","system time text"
"START",0.000000000E0,1715715897.150,"2024-05-14 16:44:57.150 UTC-03:00"
"PAUSE",6.653279737E1,1715715963.683,"2024-05-14 16:46:03.683 UTC-03:00"
